开始时间,结束时间,粒度,云环境,服务器ID,服务器名称,服务器当前使用功率(W),CPU温度(℃)
2023-01-18 05:35:00,2023-01-18 05:40:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,655,52.75
2023-01-18 05:30:00,2023-01-18 05:35:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,643,53.0
2023-01-18 05:25:00,2023-01-18 05:30:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,649,53.5
2023-01-18 05:20:00,2023-01-18 05:25:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,677,54.5
2023-01-18 05:15:00,2023-01-18 05:20:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,669,54.5
2023-01-18 05:10:00,2023-01-18 05:15:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,669,53.75
2023-01-18 05:05:00,2023-01-18 05:10:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,658,54.5
2023-01-18 05:00:00,2023-01-18 05:05:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,670,55.5
2023-01-18 04:55:00,2023-01-18 05:00:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,664,54.75
2023-01-18 04:50:00,2023-01-18 04:55:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,674,54.5
2023-01-18 04:45:00,2023-01-18 04:50:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,666,54.25
2023-01-18 04:40:00,2023-01-18 04:45:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,650,53.25
2023-01-18 04:35:00,2023-01-18 04:40:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,651,53.5
2023-01-18 04:30:00,2023-01-18 04:35:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,644,53.5
2023-01-18 04:25:00,2023-01-18 04:30:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,649,53.5
2023-01-18 04:20:00,2023-01-18 04:25:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,656,53.25
2023-01-18 04:15:00,2023-01-18 04:20:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,649,53.0
2023-01-18 04:10:00,2023-01-18 04:15:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,648,53.0
2023-01-18 04:05:00,2023-01-18 04:10:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,646,53.0
2023-01-18 04:00:00,2023-01-18 04:05:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,693,54.75
2023-01-18 03:55:00,2023-01-18 04:00:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,638,52.25
2023-01-18 03:50:00,2023-01-18 03:55:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,632,52.0
2023-01-18 03:45:00,2023-01-18 03:50:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,671,54.75
2023-01-18 03:40:00,2023-01-18 03:45:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,653,53.5
2023-01-18 03:35:00,2023-01-18 03:40:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,653,53.5
2023-01-18 03:30:00,2023-01-18 03:35:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,684,54.5
2023-01-18 03:25:00,2023-01-18 03:30:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,677,53.75
2023-01-18 03:20:00,2023-01-18 03:25:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,676,54.0
2023-01-18 03:15:00,2023-01-18 03:20:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,670,53.75
2023-01-18 03:10:00,2023-01-18 03:15:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,677,55.0
2023-01-18 03:05:00,2023-01-18 03:10:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,667,54.0
2023-01-18 03:00:00,2023-01-18 03:05:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,660,53.5
2023-01-18 02:55:00,2023-01-18 03:00:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,665,54.0
2023-01-18 02:50:00,2023-01-18 02:55:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,663,54.0
2023-01-18 02:45:00,2023-01-18 02:50:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,670,54.0
2023-01-18 02:40:00,2023-01-18 02:45:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,671,54.75
2023-01-18 02:35:00,2023-01-18 02:40:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,656,55.5
